State,District,Trump (%),Clinton (%),Representative
Kentucky,1,24,72,Ed Whitfield
Kentucky,2,28,68,Brett Guthrie
Kentucky,3,55,40,John Yarmuth
Kentucky,4,29,65,Thomas Massie
Kentucky,5,18,80,Hal Rogers
Kentucky,6,39,55,Andy Barr
Louisiana,1,27,69,Steve Scalise
Louisiana,2,75,22,Cedric Richmond
Louisiana,3,29,67,Clay Higgins
Louisiana,4,37,61,Mike Johnson
Louisiana,5,34,64,Ralph Abraham
Louisiana,6,31,65,Garret Graves
Maine,1,53.96,39.15,Chellie Pingree
Maine,2,40.97,51.26,Bruce Poliquin
Maryland,1,60,35,Andy Harris
Maryland,2,37,58,Dutch Ruppersberger
Maryland,3,32,63,John Sarbanes
Maryland,4,20,77,Donna Edwards
Maryland,5,31,65,Steny Hoyer
Maryland,6,40,55,John Delaney
Maryland,7,22,74,Elijah Cummings
Maryland,8,31,64,Chris Van Hollen
Massachusetts,1,36.5,57.2,Richard Neal
Massachusetts,2,36.8,56.2,Jim McGovern
Massachusetts,3,35.4,58.2,Niki Tsongas
Massachusetts,4,35.02,59.2,Joseph Kennedy III
Massachusetts,5,25.7,69.3,Katherine Clark
Massachusetts,6,38.2,56.1,Seth Moulton
Massachusetts,7,11.9,84.1,Mike Capuano
Massachusetts,8,34.4,60.4,Stephen Lynch
Massachusetts,9,41.8,52.5,William R. Keating
Michigan,1,58,1st,37%
Michigan,2,38,55,Bill Huizenga
Michigan,3,42,52,Justin Amash
Michigan,4,35,59,John Moolenaar
Michigan,5,50,45,Dan Kildee
Michigan,6,43,51,Fred Upton
Michigan,7,39,56,Tim Walberg
Michigan,8,44,51,Mike Bishop
Michigan,9,51,44,Sander Levin
Michigan,10,32,64,Candice Miller
Michigan,11,45,49,David Trott
Michigan,12,61,34,Debbie Dingell
Michigan,13,79,18,John Conyers Jr.
Michigan,14,79,18,Brenda Lawrence
Minnesota,1,53,38,Tim Walz
Minnesota,2,46,45,Jason Lewis
Minnesota,3,41,50,Erik Paulsen
Minnesota,4,30,61,Betty McCollum
Minnesota,5,18,73,Keith Ellison
Minnesota,6,59,33,Tom Emmer
Minnesota,7,61,31,Collin Peterson
Minnesota,8,54,38,Rick Nolan
Mississippi,1,32,65,Trent Kelly
Mississippi,2,64,35,Bennie Thompson
Mississippi,3,37,61,Gregg Harper
Mississippi,4,28,69,Steven Palazzo
Missouri,1,77,19,Lacy Clay
Missouri,2,42,53,Ann Wagner
Missouri,3,28,67,Blaine Luetkemeyer
Missouri,4,29,65,Vicky Hartzler
Missouri,5,55,40,Emanuel Cleaver
Missouri,6,31,63,Sam Graves
Missouri,7,25,70,Billy Long
Missouri,8,21,75,Jason Smith
Montana,1,35.25,56.17,Ryan Zinke
Nebraska,1,36,56,Jeff Fortenberry
Nebraska,2,45,47,Brad Ashford
Nebraska,3,20,74,Adrian Smith
Nevada,1,61.63,32.63,Dina Titus
Nevada,2,39.67,52.03,Mark Amodei
Nevada,3,46.55,47.55,Joe Heck
Nevada,4,49.50,44.55,Cresent Hardy
New Hampshire,1,48.19,46.6,Carol Shea-Porter
New Hampshire,2,46.22,48.62,Ann McLane Kuster
New Jersey,1,36.1,60.6,Donald Norcross
New Jersey,2,50.6,46.0,Frank LoBiondo
New Jersey,3,51.4,45.2,Tom MacArthur
New Jersey,4,55.8,41.0,Chris Smith
New Jersey,5,48.8,47.7,Scott Garrett
New Jersey,6,40.6,56.2,Frank Pallone Jr.
New Jersey,7,47.5,48.6,Leonard Lance
New Jersey,8,21.5,75.7,Albio Sires
New Jersey,9,33.1,64.3,Bill Pascrell
New Jersey,10,12.8,85.2,Donald Payne Jr.
New Jersey,11,48.8,47.9,Rodney Frelinghuysen
New Jersey,12,31.8,65.0,Bonnie Watson Coleman
New Mexico,1,52,35,Michelle Lujan Grisham
New Mexico,2,40,50,Steve Pearce
New Mexico,3,52,37,Ben Ray Luján
New York,1,54,42,Lee Zeldin
New York,2,53,44,Peter T. King
New York,3,45,51,"Steve Israel, Thomas Suozzi"
New York,4,43,53,Kathleen Rice
New York,5,13,85,Gregory Meeks
New York,6,32,65,Grace Meng
New York,7,10,86,Nydia Velázquez
New York,8,13,84,Hakeem Jeffries
New York,9,14,83,Yvette Clarke
