State,District,Cook_PVI_Numeric,Adjusted_2012_Romney,Adjusted_2016_Trump,2012 Romney (Standardized),2016 Trump (Standardized)
California,53,-7,0.3967172530419447,0.33343666743948436,0.3721881390593047,0.3157894736842105
Colorado,1,-17,0.3192239928541518,0.26764719375527385,0.2946948788715118,0.25
Colorado,2,-8,0.4300510271510686,0.4022625783706585,0.40552191316842856,0.38461538461538464
Colorado,3,4,0.5554300056501608,0.5828645850596217,0.5309008916675207,0.5652173913043478
Colorado,4,12,0.6231783157837043,0.6440208201289003,0.5986492018010643,0.6263736263736264
Colorado,5,15,0.6313860222150359,0.6509805270886072,0.6068569082323959,0.6333333333333333
Colorado,6,1,0.49872858369506096,0.4681966443047244,0.47419946971242094,0.45054945054945056
Colorado,7,-3,0.4483606496785825,0.452429802450926,0.4238315356959425,0.43478260869565216
Connecticut,1,-12,0.38448866908880786,0.39708722718611383,0.35995955510616784,0.37944003343084
Connecticut,2,-6,0.45684352446298937,0.5023448533973368,0.43231441048034935,0.4846976596420629
Connecticut,3,-9,0.3915665255094347,0.4371360780270378,0.3670374115267947,0.41948888427176395
Connecticut,4,-5,0.4687717217129862,0.39796551269837177,0.4442426077303462,0.3803183189430979
Connecticut,5,-2,0.4829467586609079,0.4962395078739038,0.4584176446782679,0.47859231411862996
Florida,1,21,0.7191871471675854,0.7259805270886073,0.6946580331849453,0.7083333333333334
Florida,2,3,0.5541549987146925,0.6980595648892945,0.5296258847320525,0.6804123711340206
Florida,3,12,0.6457412351947612,0.6009805270886073,0.6212121212121212,0.5833333333333334
Florida,4,19,0.6667013154563455,0.6634805270886073,0.6421722014737055,0.6458333333333334
Florida,5,-17,0.3070633605579825,0.38878121437383056,0.2825342465753425,0.3711340206185567
Florida,6,6,0.6067692754357178,0.6052760597346554,0.5822401614530778,0.5876288659793815
Florida,7,5,0.5483386377921639,0.48080508849211595,0.5238095238095238,0.4631578947368421
Florida,8,8,0.5982101327819123,0.6218138604219405,0.5736810187992722,0.6041666666666666
Florida,9,-4,0.3998190786825896,0.45063688447692335,0.3752899646999496,0.4329896907216495
Florida,10,7,0.5630372395504204,0.3784719360233151,0.5385081255677804,0.36082474226804123
Florida,11,8,0.6184935871356477,0.6809124998777228,0.5939644731530077,0.6632653061224489
Florida,12,6,0.5714373216539284,0.6113971937552739,0.5469082076712883,0.59375
Florida,13,1,0.5170875831534409,0.49681386042194053,0.49255846917080087,0.4791666666666667
Florida,14,-11,0.36752477098698305,0.42389719375527385,0.34299565700434304,0.40625
Florida,15,8,0.5637061436055295,0.5697305270886073,0.5391770296228895,0.5520833333333334
Florida,16,5,0.5715428347251743,0.574348224683109,0.5470137207425343,0.5567010309278351
Florida,17,10,0.6087035185042386,0.6568224514872326,0.5841744045215986,0.6391752577319587
Florida,18,1,0.5454799600745014,0.5640389463325934,0.5209508460918614,0.5463917525773195
Florida,19,11,0.6344324956251521,0.6298920917144576,0.6099033816425121,0.6122448979591837
Florida,20,-28,0.19580206132982583,0.201320663143029,0.1712729473471858,0.1836734693877551
Florida,21,-12,0.41517768110179537,0.41560637742874323,0.39064856711915535,0.3979591836734694
Florida,22,-5,0.47695082378024345,0.4360145406940494,0.45242170979760343,0.41836734693877553
Florida,23,-10,0.40581684034078885,0.3849941325307841,0.38128772635814884,0.3673469387755102
Florida,24,-33,0.14660755715647894,0.1825956473635213,0.1220784431738389,0.16494845360824742
Florida,25,8,0.5350818778017354,0.527851275387927,0.5105527638190954,0.5102040816326531
Florida,26,3,0.4905924623989296,0.4360145406940494,0.4660633484162896,0.41836734693877553
Florida,27,5,0.4913632848369114,0.41560637742874323,0.46683417085427137,0.3979591836734694
Georgia,1,9,0.5897465052869878,0.5949667813841398,0.5652173913043478,0.5773195876288659
Georgia,2,-4,0.43499189064259974,0.45642270395935547,0.4104627766599597,0.4387755102040816
Georgia,3,19,0.6906899637550223,0.6774410081882636,0.6661608497723823,0.6597938144329897
Georgia,4,-17,0.2825936301116723,0.24445131746661408,0.2580645161290323,0.2268041237113402
Georgia,5,-31,0.18428644461964713,0.14135853396145945,0.1597573306370071,0.12371134020618557
Georgia,6,14,0.6433586305220802,0.5229103516500108,0.6188295165394402,0.5052631578947369
Georgia,7,16,0.6356909607609251,0.5488971937552739,0.6111618467782851,0.53125
Georgia,8,15,0.6463634394795627,0.6671317298377482,0.6218343254969226,0.6494845360824743
Georgia,9,27,0.8167026744043756,0.8217709050954801,0.7921735604217356,0.8041237113402062
Georgia,10,13,0.656971398308278,0.6465131731367172,0.632442284325638,0.6288659793814433
Georgia,11,19,0.7044071627631279,0.6492261411236949,0.6798780487804879,0.631578947368421
Georgia,12,9,0.5839880277722624,0.5992798468164984,0.5594589137896224,0.5816326530612245
Georgia,13,-10,0.3266155972000576,0.2931573978369065,0.3020864832174176,0.2755102040816326
Georgia,14,23,0.7677023958829547,0.7908430700439337,0.7431732819003147,0.7731958762886598
Hawaii,1,-11,0.3184918368351522,0.3435018946099747,0.2939627228525122,0.32585470085470086
Hawaii,2,-14,0.2965331935338894,0.34292191902999913,0.2720040795512494,0.3252747252747253
Idaho,1,18,0.693015210790055,0.7325742420156556,0.668486096807415,0.7149270482603817
Idaho,2,17,0.6843377756429629,0.6641477868750841,0.6598086616603229,0.6465005931198102
Illinois,1,-28,0.22868275850325703,0.24445131746661408,0.204153644520617,0.2268041237113402
Illinois,2,-27,0.2112669956716454,0.21152474477568203,0.18673788168900535,0.19387755102040816
Illinois,3,-5,0.4590655612579408,0.43254081077655043,0.4345364472753008,0.4148936170212766
Illinois,4,-26,0.1986818293766784,0.15594506609569941,0.17415271539403834,0.13829787234042554
Illinois,5,-16,0.3497514838834681,0.27296634269144404,0.3252223699008281,0.2553191489361702
Illinois,6,5,0.566242354506977,0.4800127851531233,0.541713240524337,0.46236559139784944
Illinois,7,-37,0.1436079949037591,0.11139719375527386,0.11907888092111908,0.09375
Illinois,8,-6,0.4408822106977829,0.40062591715952917,0.41635309671514287,0.3829787234042553
Illinois,9,-15,0.36322074080123806,0.2836046405637845,0.33869162681859805,0.26595744680851063
Illinois,10,-8,0.4415167482822549,0.3617332152606502,0.4169876342996149,0.34408602150537637
Illinois,11,-6,0.4372855633021606,0.3939912797767792,0.4127564493195206,0.3763440860215054
Illinois,12,-2,0.516303917293154,0.5965945621763266,0.49177480331051393,0.5789473684210527
Illinois,13,-1,0.5261173914700875,0.5495620873722952,0.5015882774874475,0.5319148936170213
Illinois,14,6,0.5754540987356387,0.5337762260133384,0.5509249847529987,0.5161290322580645
Illinois,15,11,0.6769780935744767,0.7650156148079055,0.6524489795918367,0.7473684210526316
Illinois,16,4,0.5638927688878002,0.6090450432176395,0.5393636549051601,0.5913978494623656
Illinois,17,-6,0.4382941312907239,0.5176471937552739,0.4137650173080839,0.5
Illinois,18,10,0.6431299706010368,0.6628084840778545,0.6186008566183968,0.6451612903225806
Indiana,1,-9,0.40381497318328924,0.4492261411236949,0.3792858592006492,0.43157894736842106
Indiana,2,7,0.5955796025819885,0.6386998253342213,0.5710504885993485,0.6210526315789474
Indiana,3,13,0.6611333485103272,0.7018577200710634,0.6366042345276872,0.6842105263157895
Indiana,4,13,0.6473424132153767,0.6984982575850611,0.6228132992327367,0.6808510638297872
Indiana,5,11,0.6100688288502571,0.5814769809893164,0.5855397148676171,0.5638297872340425
Indiana,6,12,0.642991912058579,0.7334366674394844,0.618462798075939,0.7157894736842105
Indiana,7,-9,0.3843255516416731,0.40062591715952917,0.3597964376590331,0.3829787234042553
Indiana,8,8,0.6202629372118705,0.6913314042815897,0.5957338232292305,0.6736842105263158
Indiana,9,9,0.6086713434707365,0.6597524569131686,0.5841422294880965,0.6421052631578947
Iowa,1,-5,0.4552999030032011,0.5337762260133384,0.4307707890205611,0.5161290322580645
Iowa,2,-4,0.45834965803460914,0.5445289141853814,0.4338205440519691,0.5268817204301075
Iowa,3,1,0.5027767562095947,0.5337762260133384,0.47824764222695465,0.5161290322580645
Iowa,4,4,0.5658748780685743,0.6628084840778545,0.5413457640859343,0.6451612903225806
Kansas,1,22,0.7417380356114511,0.7578458904757097,0.7172089216288111,0.7401986967204358
Kansas,2,7,0.5919776441475484,0.6163596401072052,0.5674485301649084,0.5987124463519313
Kansas,3,5,0.5729490935952802,0.5112094255149305,0.5484199796126402,0.49356223175965663
Kansas,4,14,0.6550306492948201,0.6637085803189141,0.6305015353121801,0.6460613865636402
Kentucky,1,14,0.6986407891095436,0.7676471937552739,0.6741116751269036,0.75
Kentucky,2,15,0.6674225407834121,0.7259805270886073,0.6428934268007721,0.7083333333333334
Kentucky,3,-3,0.4589145803380647,0.4386998253342212,0.4343854663554247,0.42105263157894735
Kentucky,4,15,0.669880911151971,0.7091365554574016,0.645351797169331,0.6914893617021277
Kentucky,5,16,0.7878878926085943,0.8339737243675188,0.7633587786259542,0.8163265306122449
Kentucky,6,7,0.594149367147197,0.6027535767339973,0.569620253164557,0.5851063829787234
Louisiana,1,23,0.7496340162444352,0.7363971937552739,0.7251049022617951,0.71875
Louisiana,2,-22,0.25575060409921374,0.24445131746661408,0.23122149011657372,0.2268041237113402
Louisiana,3,15,0.6965502607902855,0.7155638604219405,0.6720211468076455,0.6979166666666666
Louisiana,4,11,0.622542493265024,0.6400961733471107,0.598013379282384,0.6224489795918368
Louisiana,5,14,0.642814133240698,0.6707084182450698,0.618285019258058,0.6530612244897959
Louisiana,6,19,0.6987723103948303,0.6947305270886073,0.6742431964121903,0.6770833333333334
Maryland,1,14,0.6430858150135679,0.6492261411236949,0.6185567010309279,0.631578947368421
Maryland,2,-7,0.37504457790016577,0.40712087796580015,0.35051546391752575,0.3894736842105263
Maryland,3,-7,0.40597241295171216,0.35448929901843174,0.38144329896907214,0.3368421052631579
Maryland,4,-23,0.22861074663570127,0.22383276076558314,0.20408163265306123,0.20618556701030927
Maryland,5,-11,0.35105972622753795,0.34056386042194053,0.32653061224489793,0.3229166666666667
Maryland,6,-2,0.4575188047042895,0.4386998253342212,0.4329896907216495,0.42105263157894735
Maryland,7,-23,0.2490189099010074,0.24681386042194053,0.22448979591836735,0.22916666666666666
Maryland,8,-10,0.39566313460119673,0.3439629832289581,0.3711340206185567,0.3263157894736842
Massachusetts,1,-13,0.37340420305929684,0.40718828233585014,0.3488750890766568,0.3895410885805763
Massachusetts,2,-10,0.42481517855149986,0.41334611848645664,0.40028606456885985,0.3956989247311828
Massachusetts,3,-8,0.4457048666270664,0.39585232196040204,0.42117575264442636,0.3782051282051282
Massachusetts,4,-10,0.44358929869795516,0.389330488172595,0.41906018471531514,0.3716832944173212
Massachusetts,5,-16,0.3614900578394342,0.2881735095447475,0.3369609438567942,0.27052631578947367
Massachusetts,6,-7,0.4695255653666003,0.42273733161317417,0.44499645138396027,0.4050901378579003
Massachusetts,7,-30,0.18395826790720682,0.1416055270886072,0.15942915392456677,0.12395833333333334
Massachusetts,8,-9,0.43870330033567667,0.38051639206751015,0.41417418635303666,0.3628691983122363
Massachusetts,9,-8,0.46169976659715156,0.4609133655474265,0.43717065261451155,0.44326617179215266
Michigan,2,7,0.5901856796392057,0.6090450432176395,0.5656565656565656,0.5913978494623656
Michigan,3,5,0.5598826493361754,0.570838683116976,0.5353535353535354,0.5531914893617021
Michigan,4,4,0.56452911398264,0.645306768223359,0.54,0.6276595744680851
Michigan,5,-10,0.40836749782102383,0.4913314042815896,0.3838383838383838,0.47368421052631576
Michigan,6,1,0.5295796190331451,0.5602003852446356,0.5050505050505051,0.5425531914893617
Michigan,7,3,0.5396806291341552,0.6071208779658002,0.5151515151515151,0.5894736842105263
Michigan,8,2,0.5396806291341552,0.5544892990184318,0.5151515151515151,0.5368421052631579
Michigan,9,-5,0.44877153822506427,0.48080508849211595,0.42424242424242425,0.4631578947368421
Michigan,10,5,0.5800846695381956,0.6843138604219405,0.5555555555555556,0.6666666666666666
Michigan,11,4,0.5497816392351653,0.5389237894999548,0.5252525252525253,0.5212765957446809
Michigan,12,-14,0.35786244731597333,0.3755419305973791,0.3333333333333333,0.35789473684210527
Michigan,13,-34,0.16594325539678145,0.20321420406455223,0.1414141414141414,0.18556701030927836
Michigan,14,-27,0.20634729580082187,0.20321420406455223,0.18181818181818182,0.18556701030927836
Minnesota,1,1,0.5176251557132322,0.6000647761728564,0.4930960417305922,0.5824175824175825
Minnesota,2,2,0.524223241225707,0.5231416992497794,0.4996941272430669,0.5054945054945055
Minnesota,3,2,0.5204640733322334,0.4681966443047244,0.4959349593495934,0.45054945054945056
Minnesota,4,-11,0.3868479545623502,0.3473175234256035,0.3623188405797102,0.32967032967032966
Minnesota,5,-22,0.2706829601364862,0.21544939155747167,0.24615384615384617,0.1978021978021978
Minnesota,6,8,0.6007812816864042,0.6589515415813608,0.5762521677037642,0.6413043478260869
Minnesota,7,5,0.5742229915336604,0.6806906720161434,0.5496938775510204,0.6630434782608695
Minnesota,8,-3,0.49654708783884915,0.6046037154944044,0.47201797385620914,0.5869565217391305
Mississippi,1,14,0.6503003287090484,0.687750286538779,0.6257712147264084,0.6701030927835051
Mississippi,2,-10,0.35652106569290154,0.3711825472906274,0.3319919517102615,0.35353535353535354
Mississippi,3,15,0.6299781553549912,0.6400961733471107,0.6054490413723512,0.6224489795918368
Mississippi,4,20,0.7084627440919076,0.7289873999408409,0.6839336301092676,0.711340206185567
Missouri,1,-27,0.21588276387633243,0.21556386042194053,0.19135364989369238,0.19791666666666666
Missouri,2,7,0.6041598707284302,0.5755419305973791,0.5796307567457902,0.5578947368421052
Missouri,3,9,0.6571821752071298,0.7229103516500107,0.6326530612244898,0.7052631578947368
Missouri,4,11,0.6516668507977962,0.7091365554574016,0.6271377368151562,0.6914893617021277
Missouri,5,-10,0.4250990305305741,0.4386998253342212,0.40056991654793406,0.42105263157894735
Missouri,6,9,0.6373993897742641,0.6878599597127207,0.6128702757916241,0.6702127659574468
Missouri,7,17,0.7146210445240088,0.7544892990184318,0.6900919305413687,0.7368421052631579
Missouri,8,13,0.6975981781428362,0.7988971937552739,0.6730690641601962,0.78125
Nevada,1,-11,0.35500647016379056,0.36381736137674636,0.33047735618115054,0.3461701676214725
Nevada,2,5,0.5657778345558232,0.5850408687825367,0.5412487205731832,0.5673936750272628
Nevada,3,0,0.5204582814973968,0.5229606900358265,0.4959291675147568,0.5053134962805526
Nevada,4,-2,0.4699132590814784,0.4913314042815896,0.4453841450988384,0.47368421052631576
New Hampshire,1,0,0.5163821652932361,0.5260341544051315,0.4918530513105961,0.5083869606498576
New Hampshire,2,-3,0.47562873899530855,0.5049943046789348,0.45109962501266854,0.4873471109236609
New Jersey,1,-12,0.36796345741698344,0.39096673873976195,0.3434343434343434,0.3733195449844881
New Jersey,2,0,0.47907456852809455,0.5414567175647977,0.45454545454545453,0.5238095238095238
New Jersey,3,2,0.49927658873011477,0.5497382910637625,0.47474747474747475,0.5320910973084886
New Jersey,4,7,0.5699836594371854,0.5940934747470095,0.5454545454545454,0.5764462809917356
New Jersey,6,-6,0.40208013439080326,0.4370686813585796,0.37755102040816324,0.4194214876033058
New Jersey,7,6,0.5598826493361754,0.5119239887604768,0.5353535353535354,0.49427679500520294
New Jersey,8,-20,0.23665032610385217,0.23884060939313395,0.21212121212121213,0.22119341563786007
New Jersey,9,-11,0.33766042711395317,0.35748292270804594,0.31313131313131315,0.3398357289527721
New Jersey,10,-31,0.14452911398264004,0.14825943865323307,0.12,0.1306122448979592
New Jersey,11,5,0.5497816392351653,0.5223007614905376,0.5252525252525253,0.5046535677352637
New Jersey,12,-12,0.3477614372149633,0.34615959044948874,0.32323232323232326,0.3285123966942149
New Mexico,1,-5,0.4420304318529616,0.4199460443299865,0.4175013178703216,0.40229885057471265
New Mexico,2,6,0.5598220140033396,0.5732027493108295,0.5352929000206996,0.5555555555555556
New Mexico,3,-7,0.42654595565017306,0.43337753083392555,0.40201684166753304,0.4157303370786517
New York,1,0,0.5217935516726097,0.5801471937552739,0.49726443768996964,0.5625
New York,2,1,0.5021787903580446,0.5640389463325934,0.4776496763754045,0.5463917525773195
New York,3,-3,0.5116464222578749,0.48639719375527385,0.4871173082752349,0.46875
New York,4,-4,0.4561431242783905,0.46556386042194053,0.43161401029575047,0.4479166666666667
New York,5,-33,0.11580293544703321,0.15030025497976368,0.09127382146439318,0.1326530612244898
New York,6,-12,0.33864140533317116,0.3475441009717687,0.31411229135053115,0.32989690721649484
New York,7,-31,0.12930163399479933,0.12181386042194053,0.10477252001215928,0.10416666666666667
New York,8,-33,0.12654118641724768,0.1516678123119749,0.10201207243460765,0.13402061855670103
New York,9,-31,0.16415784683171186,0.16197709066249036,0.13962873284907182,0.14432989690721648
New York,10,-24,0.2779759915171088,0.2135234824150677,0.25344687753446876,0.1958762886597938
New York,11,4,0.5028954706344799,0.5640389463325934,0.47836635665183985,0.5463917525773195
New York,12,-28,0.24306004967297837,0.15448929901843178,0.21853093569033832,0.1368421052631579
New York,13,-41,0.0704968559181239,0.06919358550785118,0.04596774193548386,0.05154639175257732
New York,14,-23,0.20918648208451998,0.2398694159774961,0.18465736810187994,0.2222222222222222
New York,15,-41,0.05460430195256484,0.06815224426032437,0.03007518796992481,0.050505050505050504
New York,16,-19,0.2818361085401889,0.24445131746661408,0.2573069945575489,0.2268041237113402
New York,17,-5,0.4475399318979166,0.41348052708860716,0.42301081791527656,0.3958333333333333
New York,18,2,0.5028208567296475,0.5280638604219405,0.4782917427470075,0.5104166666666666
New York,19,0,0.49252952227089153,0.5544892990184318,0.4680004082882515,0.5368421052631579
New York,20,-7,0.42044748132957876,0.4477547206369943,0.39591836734693875,0.43010752688172044
New York,21,2,0.49314878644729265,0.593734150277013,0.46861967246465264,0.5760869565217391
New York,22,3,0.5269780935744768,0.5982923550455965,0.5024489795918368,0.5806451612903226
New York,23,3,0.5307044737866617,0.5982923550455965,0.5061753598040217,0.5806451612903226
New York,24,-3,0.4434893586309581,0.496370598010593,0.4189602446483181,0.4787234042553192
New York,25,-5,0.42593469556748415,0.43254081077655043,0.40140558158484413,0.4148936170212766
New York,26,-13,0.37374030991139323,0.41348052708860716,0.3492111959287532,0.3958333333333333
New York,27,7,0.5876784315625951,0.645306768223359,0.5631493175799551,0.6276595744680851
North Carolina,1,-17,0.3047864521410638,0.3269255442707378,0.2802573381584238,0.30927835051546393
North Carolina,2,11,0.6030882733238545,0.5801471937552739,0.5785591593412145,0.5625
North Carolina,3,10,0.6102866897402158,0.6426471937552739,0.5857575757575758,0.625
North Carolina,4,-17,0.3018459897414421,0.3018577200710633,0.2773168757588021,0.28421052631578947
North Carolina,5,12,0.6221209383274745,0.6113971937552739,0.5975918243448345,0.59375
North Carolina,6,11,0.6069111727764575,0.5949667813841398,0.5823820587938174,0.5773195876288659
North Carolina,7,11,0.6223091341642748,0.6113971937552739,0.5977800201816348,0.59375
North Carolina,8,12,0.6106385426117537,0.5949667813841398,0.5861094286291136,0.5773195876288659
North Carolina,9,10,0.5921048715583975,0.5801471937552739,0.5675757575757575,0.5625
North Carolina,10,11,0.6110393779122588,0.6426471937552739,0.5865102639296188,0.625
North Carolina,11,12,0.641612911733172,0.6702787727026424,0.617083797750532,0.6526315789473685
North Carolina,12,-23,0.23383143956403535,0.30931386042194053,0.2093023255813953,0.2916666666666667
North Carolina,13,9,0.5847432986664145,0.5640389463325934,0.5602141846837745,0.5463917525773195
Ohio,1,6,0.5556460813452997,0.5488971937552739,0.5311169673626597,0.53125
Ohio,2,9,0.5808750137895702,0.6009805270886073,0.5563458998069302,0.5833333333333334
Ohio,3,-14,0.31778127024849484,0.312384035860537,0.2932521562658548,0.29473684210526313
Ohio,4,9,0.5958702040010111,0.6913314042815897,0.5713410900183711,0.6736842105263158
Ohio,5,8,0.5744372585019297,0.6520557959058115,0.5499081445192897,0.6344086021505376
Ohio,6,5,0.5885426012616837,0.7363971937552739,0.5640134872790437,0.71875
Ohio,7,5,0.5729260917241145,0.6702787727026424,0.5483969777414744,0.6526315789473685
Ohio,8,14,0.6539139640080595,0.7018577200710634,0.6293848500254194,0.6842105263157895
Ohio,9,-15,0.3381848750068221,0.40306386042194053,0.3136557610241821,0.3854166666666667
Ohio,10,2,0.5342373583660902,0.5544892990184318,0.5097082443834502,0.5368421052631579
Ohio,11,-30,0.19121256649548124,0.19111658151037592,0.1666834525128412,0.17346938775510204
Ohio,12,8,0.577800712639402,0.5755419305973791,0.553271598656762,0.5578947368421052
Ohio,13,-12,0.38459824074893056,0.48639719375527385,0.36006912676629055,0.46875
Ohio,14,3,0.5413362633682397,0.5755419305973791,0.5168071493855997,0.5578947368421052
Ohio,15,6,0.5526350202962856,0.5965945621763266,0.5281059063136456,0.5789473684210527
Ohio,16,5,0.5659336197670931,0.6071208779658002,0.5414045057844531,0.5894736842105263
Oklahoma,1,16,0.6825291139826399,0.6665833639680399,0.6579999999999999,0.648936170212766
Oklahoma,2,14,0.70252911398264,0.7780638604219405,0.6779999999999999,0.7604166666666666
Oklahoma,3,24,0.7635291139826401,0.7965945621763265,0.7390000000000001,0.7789473684210526
Oklahoma,4,18,0.69552911398264,0.719774853329742,0.6709999999999999,0.7021276595744681
Oklahoma,5,13,0.6166106976659034,0.5875396668735535,0.5920815836832634,0.5698924731182796
Oregon,1,-6,0.4357738462264472,0.39264719375527385,0.4112447322438072,0.375
Oregon,2,10,0.6086590348378152,0.6287583048663851,0.5841299208551752,0.6111111111111112
