State,District,Trump (%),Clinton (%),Representative
Kansas,4,32.98,60.2,Mike Pompeo
Kentucky,1,72,24,Ed Whitfield
Kentucky,2,68,28,Brett Guthrie
Kentucky,3,40,55,John Yarmuth
Kentucky,4,65,29,Thomas Massie
Kentucky,5,80,18,Hal Rogers
Kentucky,6,55,39,Andy Barr
Louisiana,1,69,27,Steve Scalise
Louisiana,2,22,75,Cedric Richmond
Louisiana,3,67,29,Clay Higgins
Louisiana,4,61,37,Mike Johnson
Louisiana,5,64,34,Ralph Abraham
Louisiana,6,65,31,Garret Graves
Maine,1,39.15,53.96,Chellie Pingree
Maine,2,51.26,40.97,Bruce Poliquin
Maryland,1,35,60,Andy Harris
Maryland,2,58,37,Dutch Ruppersberger
Maryland,3,63,32,John Sarbanes
Maryland,4,77,20,Donna Edwards
Maryland,5,65,31,Steny Hoyer
Maryland,6,55,40,John Delaney
Maryland,7,74,22,Elijah Cummings
Maryland,8,64,31,Chris Van Hollen
Massachusetts,1,57.2,36.5,Richard Neal
Massachusetts,2,56.2,36.8,Jim McGovern
Massachusetts,3,58.2,35.4,Niki Tsongas
Massachusetts,4,59.2,35.02,Joseph Kennedy III
Massachusetts,5,69.3,25.7,Katherine Clark
Massachusetts,6,56.1,38.2,Seth Moulton
Massachusetts,7,84.1,11.9,Mike Capuano
Massachusetts,8,60.4,34.4,Stephen Lynch
Massachusetts,9,52.5,41.8,William R. Keating
Michigan,1,1st,58,37%
Michigan,2,55,38,Bill Huizenga
Michigan,3,52,42,Justin Amash
Michigan,4,59,35,John Moolenaar
Michigan,5,45,50,Dan Kildee
Michigan,6,51,43,Fred Upton
Michigan,7,56,39,Tim Walberg
Michigan,8,51,44,Mike Bishop
Michigan,9,44,51,Sander Levin
Michigan,10,64,32,Candice Miller
Michigan,11,49,45,David Trott
Michigan,12,34,61,Debbie Dingell
Michigan,13,18,79,John Conyers Jr.
Michigan,14,18,79,Brenda Lawrence
Minnesota,1,38,53,Tim Walz
Minnesota,2,45,46,Jason Lewis
Minnesota,3,50,41,Erik Paulsen
Minnesota,4,61,30,Betty McCollum
Minnesota,5,73,18,Keith Ellison
Minnesota,6,33,59,Tom Emmer
Minnesota,7,31,61,Collin Peterson
Minnesota,8,38,54,Rick Nolan
Mississippi,1,65,32,Trent Kelly
Mississippi,2,35,64,Bennie Thompson
Mississippi,3,61,37,Gregg Harper
Mississippi,4,69,28,Steven Palazzo
Missouri,1,19,77,Lacy Clay
Missouri,2,53,42,Ann Wagner
Missouri,3,67,28,Blaine Luetkemeyer
Missouri,4,65,29,Vicky Hartzler
Missouri,5,40,55,Emanuel Cleaver
Missouri,6,63,31,Sam Graves
Missouri,7,70,25,Billy Long
Missouri,8,75,21,Jason Smith
Montana,1,56.17,35.25,Ryan Zinke
Nebraska,1,56,36,Jeff Fortenberry
Nebraska,2,47,45,Brad Ashford
Nebraska,3,74,20,Adrian Smith
Nevada,1,32.63,61.63,Dina Titus
Nevada,2,52.03,39.67,Mark Amodei
Nevada,3,47.55,46.55,Joe Heck
Nevada,4,44.55,49.50,Cresent Hardy
