State,District,Cook_PVI_Numeric,Adjusted_2012_Romney,Adjusted_2012_Obama,2016 Trump (Standardized),2016 Clinton (Standardized)
Alabama,1,14,0.6476304136884596,0.35236958631154036,0.6506147540983607,0.3493852459016394
Alabama,2,18,0.6579286196306596,0.34207138036934037,0.6629213483146068,0.33707865168539325
Alabama,3,15,0.6531525026544092,0.34684749734559084,0.6690573770491803,0.33094262295081966
Alabama,4,23,0.7817328887124504,0.2182671112875496,0.8220858895705521,0.17791411042944782
Alabama,5,14,0.6714759427890405,0.32852405721095945,0.6739583333333333,0.3260416666666667
Alabama,6,28,0.7753029888001329,0.22469701119986707,0.7306501547987615,0.2693498452012384
Alabama,7,-17,0.2970026199479935,0.7029973800520065,0.29065040650406504,0.7093495934959348
Arizona,1,3,0.5373620414380565,0.46263795856194345,0.5058324496288441,0.49416755037115584
Arizona,2,2,0.5324795269430916,0.46752047305690836,0.47401908801696707,0.5259809119830329
Arizona,3,-7,0.3999774030745145,0.6000225969254855,0.3424657534246575,0.6575342465753424
Arizona,4,16,0.7086407986522663,0.29135920134773374,0.7111344537815126,0.28886554621848737
Arizona,5,16,0.6729892925100587,0.3270107074899413,0.61211477151966,0.38788522848034007
Arizona,6,10,0.6297416832541817,0.3702583167458183,0.5527426160337553,0.4472573839662447
Arizona,7,-12,0.294426360204043,0.705573639795957,0.23940677966101695,0.760593220338983
Arizona,8,13,0.6503697716215364,0.3496302283784636,0.6109358569926394,0.3890641430073607
Arizona,9,1,0.5013137400978167,0.4986862599021833,0.41245972073039744,0.5875402792696026
Arkansas,1,7,0.6511516566890613,0.3488483433109387,0.6827731092436975,0.3172268907563025
Arkansas,2,5,0.5851704646193129,0.4148295353806871,0.5568544102019128,0.4431455897980872
Arkansas,3,16,0.6989563100122128,0.3010436899877872,0.6699134199134199,0.33008658008658004
Arkansas,4,9,0.6572854932448845,0.3427145067551155,0.6722513089005235,0.32774869109947646
California,1,10,0.6086110741852568,0.39138892581474316,0.6043956043956044,0.3956043956043956
California,2,-19,0.3054449773611171,0.6945550226388829,0.25,0.75
California,3,-1,0.46699971483301034,0.5330002851669897,0.43010752688172044,0.5698924731182796
California,4,10,0.6186424253052896,0.38135757469471043,0.5760869565217391,0.42391304347826086
California,5,-18,0.30712117666949507,0.692878823330505,0.25806451612903225,0.7419354838709677
California,6,-13,0.3147840496444515,0.6852159503555485,0.2608695652173913,0.7391304347826086
California,7,3,0.5042485536846707,0.4957514463153293,0.43956043956043955,0.5604395604395604
California,8,12,0.5962902438152463,0.4037097561847537,0.5789473684210527,0.42105263157894735
California,9,-2,0.4341097696857405,0.5658902303142594,0.40217391304347827,0.5978260869565217
California,10,5,0.505854679683145,0.494145320316855,0.4838709677419355,0.5161290322580645
California,11,-17,0.3314617944775386,0.6685382055224613,0.2391304347826087,0.7608695652173914
California,12,-35,0.15389416728410957,0.8461058327158905,0.09473684210526316,0.9052631578947369
California,13,-37,0.11747685564494478,0.8825231443550552,0.07446808510638298,0.925531914893617
California,14,-23,0.2654190112635923,0.7345809887364076,0.18947368421052632,0.8105263157894737
California,15,-15,0.32919805784540207,0.6708019421545979,0.25806451612903225,0.7419354838709677
California,16,-2,0.4264964197858261,0.5735035802141739,0.3870967741935484,0.6129032258064516
California,17,-18,0.28652392372453683,0.7134760762754632,0.2127659574468085,0.7872340425531915
California,18,-18,0.3222508596666132,0.6777491403333868,0.21505376344086022,0.7849462365591398
California,19,-16,0.2957053069794051,0.7042946930205949,0.23157894736842105,0.7684210526315789
California,20,-19,0.29427208445301933,0.7057279155469807,0.24731182795698925,0.7526881720430108
California,21,3,0.46814650718304124,0.5318534928169587,0.4148936170212766,0.5851063829787234
California,22,12,0.6009435983740914,0.3990564016259086,0.5483870967741935,0.45161290322580644
California,23,18,0.6544618079092818,0.34553819209071823,0.6170212765957447,0.3829787234042553
California,24,-3,0.46796747509799685,0.5320325249020031,0.391304347826087,0.6086956521739131
California,25,6,0.5337756807372076,0.4662243192627924,0.46236559139784944,0.5376344086021505
California,26,-2,0.4719518616247307,0.5280481383752693,0.3804347826086957,0.6195652173913043
California,27,-9,0.38302766884485784,0.6169723311551422,0.2978723404255319,0.7021276595744681
California,28,-19,0.29855488702160315,0.7014451129783968,0.23404255319148937,0.7659574468085106
California,29,-21,0.234912957080586,0.765087042919414,0.17894736842105263,0.8210526315789474
California,30,-13,0.35406336986381115,0.6459366301361888,0.2736842105263158,0.7263157894736842
California,31,-2,0.4396275056981628,0.5603724943018372,0.3894736842105263,0.6105263157894737
California,32,-9,0.3569743519251117,0.6430256480748884,0.29473684210526313,0.7052631578947368
California,33,-12,0.4021262954430967,0.5978737045569034,0.28421052631578947,0.7157894736842105
California,34,-28,0.17005768615998443,0.8299423138400156,0.11578947368421053,0.8842105263157894
California,35,-10,0.3365223534681551,0.6634776465318448,0.28421052631578947,0.7157894736842105
California,36,3,0.5082013023403812,0.4917986976596188,0.45263157894736844,0.5473684210526316
California,37,-33,0.15461753218245664,0.8453824678175433,0.10416666666666667,0.8958333333333334
California,38,-9,0.3613700283843437,0.6386299716156563,0.2872340425531915,0.7127659574468085
California,39,7,0.5431455777858811,0.45685442221411887,0.4574468085106383,0.5425531914893617
California,40,-25,0.19286192830156001,0.80713807169844,0.1368421052631579,0.8631578947368421
California,41,-3,0.3956602255345636,0.6043397744654364,0.35106382978723405,0.648936170212766
California,42,12,0.6017436368105533,0.3982563631894467,0.5638297872340425,0.43617021276595747
California,43,-23,0.22857621401584574,0.7714237859841543,0.17894736842105263,0.8210526315789474
