State,District,Cook_PVI_Numeric,Adjusted_2012_Romney,Adjusted_2016_Trump,2012 Romney (%),2016 Trump (%)
Illinois,1,-28,20.25,22.0,20.25,22.0
Illinois,2,-27,18.53,19.0,18.53,19.0
Illinois,3,-5,42.98,39.0,42.98,39.0
Illinois,4,-26,17.06,13.0,17.06,13.0
Illinois,5,-16,31.81,24.0,31.81,24.0
Illinois,6,5,53.31,43.0,53.31,43.0
Illinois,7,-37,11.79,9.0,11.79,9.0
Illinois,8,-6,40.94,36.0,40.94,36.0
Illinois,9,-15,33.29,25.0,33.29,25.0
Illinois,10,-8,41.14,32.0,41.14,32.0
Illinois,11,-6,40.64,35.0,40.64,35.0
Illinois,12,-2,48.13,55.0,48.13,55.0
Illinois,13,-1,48.95,50.0,48.95,50.0
Illinois,14,6,54.2,48.0,54.2,48.0
Illinois,15,11,63.94,71.0,63.94,71.0
Illinois,16,4,52.89,55.0,52.89,55.0
Illinois,17,-6,40.64,47.0,40.64,47.0
Illinois,18,10,60.66,60.0,60.66,60.0
Indiana,1,-9,37.39,41.0,37.39,41.0
Indiana,2,7,56.1,59.0,56.1,59.0
Indiana,3,13,62.54,65.0,62.54,65.0
Indiana,4,13,60.88,64.0,60.88,64.0
Indiana,5,11,57.5,53.0,57.5,53.0
Indiana,6,12,60.43,68.0,60.43,68.0
Indiana,7,-9,35.35,36.0,35.35,36.0
Indiana,8,8,58.37,64.0,58.37,64.0
Indiana,9,9,57.17,61.0,57.17,61.0
Iowa,1,-5,42.53,48.0,42.53,48.0
Iowa,2,-4,42.74,49.0,42.74,49.0
Iowa,3,1,47.16,48.0,47.16,48.0
Iowa,4,4,53.42,60.0,53.42,60.0
Kansas,1,22,70.1,69.29,70.1,69.29
Kansas,2,7,55.4,55.8,55.4,55.8
Kansas,3,5,53.8,46.0,53.8,46.0
Kansas,4,14,61.6,60.2,61.6,60.2
Kentucky,1,14,66.4,72.0,66.4,72.0
Kentucky,2,15,63.28,68.0,63.28,68.0
Kentucky,3,-3,42.8,40.0,42.8,40.0
Kentucky,4,15,63.38,65.0,63.38,65.0
Kentucky,5,16,75.0,80.0,75.0,80.0
Kentucky,6,7,55.8,55.0,55.8,55.0
Louisiana,1,23,70.85,69.0,70.85,69.0
Louisiana,2,-22,22.81,22.0,22.81,22.0
Louisiana,3,15,66.1,67.0,66.1,67.0
Louisiana,4,11,59.0,61.0,59.0,61.0
Louisiana,5,14,61.0,64.0,61.0,64.0
Louisiana,6,19,66.15,65.0,66.15,65.0
Maryland,1,14,60.0,60.0,60.0,60.0
Maryland,2,-7,34.0,37.0,34.0,37.0
Maryland,3,-7,37.0,32.0,37.0,32.0
Maryland,4,-23,20.0,20.0,20.0,20.0
Maryland,5,-11,32.0,31.0,32.0,31.0
Maryland,6,-2,42.0,40.0,42.0,40.0
Maryland,7,-23,22.0,22.0,22.0,22.0
Maryland,8,-10,36.0,31.0,36.0,31.0
Massachusetts,1,-13,34.27,36.5,34.27,36.5
Massachusetts,2,-10,39.18,36.8,39.18,36.8
Massachusetts,3,-8,41.41,35.4,41.41,35.4
Massachusetts,4,-10,41.29,35.02,41.29,35.02
Massachusetts,5,-16,33.13,25.7,33.13,25.7
Massachusetts,6,-7,43.89,38.2,43.89,38.2
Massachusetts,7,-30,15.64,11.9,15.64,11.9
Massachusetts,8,-9,40.85,34.4,40.85,34.4
Massachusetts,9,-8,43.14,41.8,43.14,41.8
Michigan,2,7,56.0,55.0,56.0,55.0
Michigan,3,5,53.0,52.0,53.0,52.0
Michigan,4,4,54.0,59.0,54.0,59.0
Michigan,5,-10,38.0,45.0,38.0,45.0
Michigan,6,1,50.0,51.0,50.0,51.0
Michigan,7,3,51.0,56.0,51.0,56.0
Michigan,8,2,51.0,51.0,51.0,51.0
Michigan,9,-5,42.0,44.0,42.0,44.0
Michigan,10,5,55.0,64.0,55.0,64.0
Michigan,11,4,52.0,49.0,52.0,49.0
Michigan,12,-14,33.0,34.0,33.0,34.0
Michigan,13,-34,14.0,18.0,14.0,18.0
