State,District,Trump (%),Clinton (%),Representative
Kentucky,6,55,39,Andy Barr
Louisiana,1,69,27,Steve Scalise
Louisiana,2,22,75,Cedric Richmond
Louisiana,3,67,29,Clay Higgins
Louisiana,4,61,37,Mike Johnson
Louisiana,5,64,34,Ralph Abraham
Louisiana,6,65,31,Garret Graves
Maine,1,39,54,Chellie Pingree
Maine,2,51,41,Bruce Poliquin
Maryland,1,61,33,Andy Harris
Maryland,2,35,59,Dutch Ruppersberger
Maryland,3,32,62,John Sarbanes
Maryland,4,19,77,Donna Edwards
Maryland,5,32,63,Steny Hoyer
Maryland,6,39,55,John Delaney
Maryland,7,20,74,Elijah Cummings
Maryland,8,30,63,Chris Van Hollen
Massachusetts,1,36,56,Richard Neal
Massachusetts,2,36,55,Jim McGovern
Massachusetts,3,35,57,Niki Tsongas
Massachusetts,4,34,58,Joseph Kennedy III
Massachusetts,5,25,68,Katherine Clark
Massachusetts,6,38,55,Seth Moulton
Massachusetts,7,12,83,Mike Capuano
Massachusetts,8,34,59,Stephen Lynch
Massachusetts,9,41,52,William R. Keating
Michigan,1,1st,58,37%
Michigan,2,55,38,Bill Huizenga
Michigan,3,52,42,Justin Amash
Michigan,4,59,35,John Moolenaar
Michigan,5,45,50,Dan Kildee
Michigan,6,51,43,Fred Upton
Michigan,7,56,39,Tim Walberg
Michigan,8,51,44,Mike Bishop
Michigan,9,44,51,Sander Levin
Michigan,10,64,32,Candice Miller
Michigan,11,49,45,David Trott
Michigan,12,34,61,Debbie Dingell
Michigan,13,18,79,John Conyers Jr.
Michigan,14,18,79,Brenda Lawrence
Minnesota,1,53,38,Tim Walz
Minnesota,2,46,45,Jason Lewis
Minnesota,3,41,50,Erik Paulsen
Minnesota,4,30,61,Betty McCollum
Minnesota,5,18,73,Keith Ellison
Minnesota,6,58,33,Tom Emmer
Minnesota,7,61,31,Collin Peterson
Minnesota,8,54,38,Rick Nolan
Mississippi,1,65,32,Trent Kelly
Mississippi,2,35,64,Bennie Thompson
Mississippi,3,61,37,Gregg Harper
Mississippi,4,69,28,Steven Palazzo
Missouri,1,19,77,Lacy Clay
Missouri,2,53,42,Ann Wagner
Missouri,3,67,28,Blaine Luetkemeyer
Missouri,4,65,29,Vicky Hartzler
Missouri,5,40,55,Emanuel Cleaver
Missouri,6,64,31,Sam Graves
Missouri,7,70,25,Billy Long
Missouri,8,75,21,Jason Smith
