State,District,Obama (%),Romney (%),Representative,
Illinois,9,33.29,65,Jan Schakowsky,
Illinois,10,41.14,57.52,Brad Schneider,
Illinois,11,40.64,57.82,Bill Foster,
Illinois,12,48.13,49.74,William Enyart,
Illinois,13,48.95,48.64,Rodney Davis,
Illinois,14,54.2,44.18,Randy Hultgren,
Illinois,15,63.94,34.06,John Shimkus,
Illinois,16,52.89,45.17,Adam Kinzinger,
Illinois,17,40.64,57.58,Cheri Bustos,
Illinois,18,60.66,37.4,Aaron Schock,
Indiana,1,37.39,61.19,Pete Visclosky,
Indiana,2,56.1,42.14,Jackie Walorski,
Indiana,3,62.54,35.7,Marlin Stutzman,
Indiana,4,60.88,36.87,Todd Rokita,
Indiana,5,57.5,40.7,Susan Brooks,
Indiana,6,60.43,37.28,Luke Messer,
Indiana,7,35.35,62.9,André Carson,
Indiana,8,58.37,39.61,Larry Bucshon,
Indiana,9,57.17,40.7,Todd Young,
Iowa,1,42.53,56.2,Bruce Braley,
Iowa,2,42.74,55.78,Dave Loebsack,
Iowa,3,47.16,51.45,Tom Latham,
Iowa,4,53.42,45.26,Steve King,
Kansas,1,70.1,27.64,Tim Huelskamp,
Kansas,2,55.4,42.23,Lynn Jenkins,
Kansas,3,53.8,44.3,Kevin Yoder,
Kansas,4,61.6,36.1,Mike Pompeo,
Kentucky,1,66.4,32.1,Ed Whitfield,
Kentucky,2,63.28,35.15,Brett Guthrie,
Kentucky,3,42.8,55.73,John Yarmuth,
Kentucky,4,63.38,34.83,Thomas Massie,
Kentucky,5,75,23.25,Hal Rogers,
Kentucky,6,55.8,42.16,Andy Barr,
Louisiana,1,70.85,26.86,Steve Scalise,
Louisiana,2,22.81,75.84,Cedric Richmond,
Louisiana,3,66.1,32.26,Charles Boustany,
Louisiana,4,59,39.66,John Fleming,
Louisiana,5,61,37.66,Rodney Alexander,
Louisiana,6,66.15,31.96,Bill Cassidy,
Maine,1,59.97,38.18,Chellie Pingree,
Maine,2,52.94,44.38,Mike Michaud,
Maryland,1,37,60,Andy Harris,
Maryland,2,63,34,Dutch Ruppersberger,
Maryland,3,60,37,John Sarbanes,
Maryland,4,78,20,Donna Edwards,
Maryland,5,66,32,Steny Hoyer,
Maryland,6,55,42,John Delaney,
Maryland,7,76,22,Elijah Cummings,
Maryland,8,61,36,Chris Van Hollen,
Massachusetts,1,63.96,34.27,Richard Neal,
Massachusetts,2,58.7,39.18,Jim McGovern,
Massachusetts,3,56.91,41.41,Niki Tsongas,
Massachusetts,4,57.24,41.29,Joseph Kennedy III,
Massachusetts,5,65.19,33.13,Ed Markey,
Massachusetts,6,54.74,43.89,John F. Tierney,
Massachusetts,7,82.46,15.64,Mike Capuano,
Massachusetts,8,57.78,40.85,Stephen Lynch,
Massachusetts,9,55.54,43.14,William R. Keating,
Michigan,1,45,53,Dan Benishek,
Michigan,2,43,56,Bill Huizenga,
Michigan,3,46,53,Justin Amash,
Michigan,4,46,54,Dave Camp,
Michigan,5,61,38,Dan Kildee,
Michigan,6,49,50,Fred Upton,
Michigan,7,48,51,Tim Walberg,
Michigan,8,48,51,Mike Rogers,
Michigan,9,57,42,Sander Levin,
Michigan,10,44,55,Candice Miller,
Michigan,11,47,52,Kerry Bentivolio,
Michigan,12,66,33,John Dingell,
Michigan,13,85,14,John Conyers,
Michigan,14,81,18,Gary Peters,
Minnesota,1,49.56,48.21,Tim Walz,
Minnesota,2,49.07,49.01,John Kline,
Minnesota,3,49.6,48.8,Erik Paulsen,
Minnesota,4,62.48,35.5,Betty McCollum,
Minnesota,5,73.5,24,Keith Ellison,
Minnesota,6,41.54,56.49,Michele Bachmann,
Minnesota,7,44.13,53.87,Collin Peterson,
Minnesota,8,51.7,46.22,Rick Nolan,
Mississippi,1,61.87,37,Alan Nunnelee,
Mississippi,2,33,66.4,Bennie Thompson,
Mississippi,3,60,39.1,Gregg Harper,
Mississippi,4,67.6,31.24,Steven Palazzo,
Missouri,1,18.9,79.87,Lacy Clay,
Missouri,2,57.14,41.44,Ann Wagner,
Missouri,3,62,36,Blaine Luetkemeyer,
Missouri,4,61.24,36.41,Vicky Hartzler,
Missouri,5,39.36,58.9,Emanuel Cleaver,
Missouri,6,60,37.9,Sam Graves,
Missouri,7,67.56,30.34,Billy Long,
